Lead Number,TotalVisits,Total Time Spent on Website,time_decay,bounce_rate,Car,gender,city,sales_branch,policy_type,fuel_type,varient,PA,RA,claim_reasons,coverage,claim_amount,year,insurance_type
655287,2,2,93,0.116786049,Maruti,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,10512,2019,comprehensive_insurance
610651,12,247,89,0.326421907,TATA,Female,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,No,Scratch/Dent,Extended,9332,2020,comprehensive_insurance
619894,4,929,181,0.304936965,Maruti,Female,tier1,Web,PersonalAuto,Diesel,Middlemodel,No,No,Collision,Premium,2444,2021,comprehensive_insurance
653933,2,25,34,0.550799492,Maruti,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,5313,2021,comprehensive_insurance
604620,16,248,34,0.666905874,TATA,Male,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,13792,2020,comprehensive_insurance
640974,4,1396,100,0.289135699,Hyundai,Female,tier3,Call Center,PersonalAuto,Diesel,Basemodel,Yes,No,Scratch/Dent,Extended,12977,2021,comprehensive_insurance
611790,3,1033,186,0.270112001,TATA,Male,tier3,App,CorporateAuto,Diesel,Basemodel,No,Yes,Collision,Premium,9466,2019,comprehensive_insurance
587471,4,166,157,0.446843138,Mahindra,Male,tier1,Web,CorporateAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,1401,2018,third_party_insurance
637500,3,1475,51,0.199858407,TATA,Female,tier1,App,CorporateAuto,Diesel,Topmodel,Yes,No,Collision,Premium,17346,2017,comprehensive_insurance
618361,6,289,183,0.94020593,Maruti,Male,tier1,App,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Scratch/Dent,Extended,3103,2020,comprehensive_insurance
583845,5,903,164,0.863666197,Mahindra,Male,tier1,Web,CorporateAuto,Petrol,Basemodel,Yes,No,Scratch/Dent,Extended,6972,2021,comprehensive_insurance
631420,3,690,18,0.636550448,Jeep,Male,tier1,Web,CorporateAuto,Petrol,Basemodel,No,Yes,Scratch/Dent,Extended,12910,2020,comprehensive_insurance
608107,19,1569,173,0.310465951,Hyundai,Male,tier1,Web,PersonalAuto,Petrol,Middlemodel,Yes,Yes,Scratch/Dent,Extended,4615,2019,comprehensive_insurance
602459,0,0,108,0.186978631,TATA,Male,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,9676,2019,comprehensive_insurance
579778,6,1389,86,0.135121693,Maruti,Female,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,4157,2017,third_party_insurance
652153,8,501,179,0.364719868,Ford,Female,tier1,Call Center,PersonalAuto,Diesel,Middlemodel,Yes,Yes,Collision,Premium,16114,2018,comprehensive_insurance
636367,5,261,138,0.704510434,Maruti,Male,tier1,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,259,2019,comprehensive_insurance
606702,3,1324,99,0.181426483,Hyundai,Male,tier3,App,PersonalAuto,Petrol,Basemodel,Yes,Yes,Collision,Premium,9032,2018,comprehensive_insurance
591756,2,599,85,0.180662529,Mahindra,Male,tier2,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,19121,2019,comprehensive_insurance
653724,0,0,118,0.157,TATA,Female,tier1,Web,PersonalAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,2650,2019,comprehensive_insurance
618845,1,1075,62,0.262582874,Maruti,Male,tier1,Web,PersonalAuto,Petrol,Middlemodel,No,Yes,Scratch/Dent,Extended,6192,2021,comprehensive_insurance
589803,2,323,13,0.528802642,Ford,Male,tier1,App,CorporateAuto,Diesel,Basemodel,Yes,Yes,Hail,Basic,4582,2017,third_party_insurance
585790,3,82,168,0.206212637,TATA,Female,tier3,Web,CorporateAuto,Diesel,Basemodel,Yes,Yes,Scratch/Dent,Extended,1742,2018,comprehensive_insurance
592786,0,0,54,0.047007625,Hyundai,Female,tier2,Web,PersonalAuto,Petrol,Basemodel,Yes,No,Collision,Premium,1924,2020,comprehensive_insurance
600317,11,67,131,0.961063397,Maruti,Female,tier1,App,CorporateAuto,Diesel,Topmodel,No,No,Scratch/Dent,Extended,10482,2020,comprehensive_insurance
589558,5,1255,100,0.194759441,Maruti,Male,tier1,App,PersonalAuto,Diesel,Topmodel,Yes,Yes,Collision,Premium,2660,2018,comprehensive_insurance
655682,3,46,24,0.759099055,Ford,Male,tier2,App,PersonalAuto,Diesel,Basemodel,No,Yes,Collision,Premium,5498,2019,comprehensive_insurance
600689,7,17,80,0.157,Hyundai,Male,tier1,Call Center,PersonalAuto,Diesel,Basemodel,Yes,Yes,Collision,Premium,16923,2017,comprehensive_insurance
613614,4,153,92,0.327818594,Maruti,Female,tier3,Call Center,PersonalAuto,Diesel,Basemodel,Yes,No,Scratch/Dent,Extended,7349,2017,comprehensive_insurance
631613,0,0,177,0.388587006,Ford,Male,tier1,Web,PersonalAuto,Diesel,Middlemodel,Yes,No,Scratch/Dent,Extended,12021,2018,comprehensive_insurance
